Category,epoch_1.pth,epoch_10.pth,epoch_11.pth,epoch_12.pth,epoch_13.pth,epoch_14.pth,epoch_15.pth,epoch_16.pth,epoch_17.pth,epoch_18.pth,epoch_19.pth,epoch_2.pth,epoch_20.pth,epoch_21.pth,epoch_22.pth,epoch_23.pth,epoch_24.pth,epoch_25.pth,epoch_26.pth,epoch_27.pth,epoch_28.pth,epoch_29.pth,epoch_3.pth,epoch_30.pth,epoch_31.pth,epoch_32.pth,epoch_33.pth,epoch_34.pth,epoch_35.pth,epoch_36.pth,epoch_37.pth,epoch_38.pth,epoch_39.pth,epoch_4.pth,epoch_40.pth,epoch_5.pth,epoch_6.pth,epoch_7.pth,epoch_8.pth,epoch_9.pth,model_fin.pth,model_init.pth
AnnualCrop,42.666666666666664,83.0,78.66666666666667,76.33333333333333,68.33333333333333,69.66666666666667,67.33333333333333,77.0,73.66666666666667,79.66666666666667,76.33333333333333,51.666666666666664,81.33333333333333,70.0,80.66666666666667,85.66666666666667,81.0,69.0,79.66666666666667,73.33333333333333,77.66666666666667,85.0,86.0,68.66666666666667,82.66666666666667,67.66666666666667,86.0,76.66666666666667,69.66666666666667,82.33333333333333,77.33333333333333,83.66666666666667,75.66666666666667,72.66666666666667,75.0,74.33333333333333,65.66666666666667,71.66666666666667,75.66666666666667,73.33333333333333,75.0,0.0
Forest,91.33333333333333,89.66666666666667,93.33333333333333,91.33333333333333,98.33333333333333,90.33333333333333,96.66666666666667,85.0,89.0,91.33333333333333,94.0,91.33333333333333,97.33333333333333,97.33333333333333,98.0,89.0,98.0,97.0,98.33333333333333,93.66666666666667,93.33333333333333,94.0,96.33333333333333,95.0,92.0,96.0,94.66666666666667,98.0,96.33333333333333,97.66666666666667,96.66666666666667,92.66666666666667,96.0,91.33333333333333,96.33333333333333,97.66666666666667,93.0,89.66666666666667,93.33333333333333,91.66666666666667,96.33333333333333,0.0
HerbaceousVegetation,6.0,79.33333333333333,74.0,82.33333333333333,76.0,79.66666666666667,84.0,84.0,81.33333333333333,79.33333333333333,72.33333333333333,5.0,81.0,83.33333333333333,69.33333333333333,72.33333333333333,84.0,85.0,85.66666666666667,89.33333333333333,80.66666666666667,83.0,14.0,84.33333333333333,75.66666666666667,91.0,86.33333333333333,87.0,84.33333333333333,78.66666666666667,75.0,67.33333333333333,85.66666666666667,52.0,83.33333333333333,60.0,56.666666666666664,69.33333333333333,66.0,73.66666666666667,83.33333333333333,0.0
Highway,11.2,42.4,73.2,63.6,59.6,71.6,66.0,63.2,77.2,68.8,66.8,52.4,63.2,62.0,50.4,71.6,67.6,68.0,63.2,64.4,68.8,76.4,52.8,61.2,73.6,62.0,74.0,76.0,72.8,67.2,67.2,64.4,62.4,36.8,71.2,46.4,50.0,45.2,60.8,56.8,71.2,2.4
Industrial,66.4,86.8,87.2,98.4,90.0,80.4,89.6,89.6,86.8,83.2,96.0,83.2,96.8,100.0,87.6,90.0,92.0,94.0,88.4,85.2,79.6,84.0,86.0,85.6,36.0,94.8,84.8,83.2,90.4,99.2,88.4,66.4,69.2,86.0,82.4,90.0,91.2,90.0,90.8,99.2,82.4,0.0
Pasture,77.5,58.5,75.0,80.5,72.5,76.0,81.5,84.0,85.0,90.5,82.5,75.5,84.5,65.5,83.5,85.0,86.5,84.0,76.5,77.5,84.5,79.5,67.5,72.0,86.5,76.5,82.0,87.5,85.5,79.0,87.5,77.0,84.5,79.5,87.0,48.0,64.0,76.0,81.5,79.0,87.0,13.5
PermanentCrop,63.2,66.4,71.6,67.6,73.2,78.8,65.6,72.4,80.8,58.0,71.2,51.2,70.8,57.2,76.4,70.4,73.2,83.2,74.0,78.0,82.0,68.8,15.2,86.8,79.2,60.8,66.8,72.8,75.6,68.4,82.4,80.4,81.2,46.0,79.6,57.2,77.6,56.4,64.4,75.2,79.6,33.2
Residential,61.333333333333336,77.0,86.33333333333333,68.33333333333333,89.33333333333333,94.0,89.33333333333333,92.0,87.66666666666667,89.0,85.66666666666667,77.33333333333333,84.66666666666667,68.66666666666667,81.33333333333333,85.66666666666667,79.0,82.66666666666667,93.66666666666667,93.0,93.0,89.33333333333333,67.66666666666667,83.0,94.0,83.33333333333333,87.33333333333333,87.33333333333333,84.66666666666667,78.0,91.0,89.33333333333333,95.0,76.0,90.33333333333333,76.66666666666667,82.0,89.66666666666667,75.0,65.66666666666667,90.33333333333333,34.333333333333336
River,88.8,77.2,89.2,84.0,92.0,86.0,73.2,88.4,94.0,96.8,86.8,87.2,98.8,89.6,98.4,94.0,86.4,96.8,92.0,95.6,95.2,90.0,89.6,96.8,94.4,83.2,96.8,95.6,91.6,93.6,96.8,97.6,98.8,90.8,97.2,88.0,87.2,93.6,92.0,90.4,97.2,21.6
SeaLake,98.0,87.33333333333333,98.33333333333333,100.0,98.33333333333333,96.33333333333333,96.33333333333333,98.0,97.33333333333333,96.66666666666667,96.33333333333333,98.33333333333333,88.66666666666667,94.66666666666667,97.66666666666667,96.33333333333333,98.66666666666667,97.33333333333333,99.0,98.33333333333333,97.33333333333333,98.0,96.66666666666667,98.66666666666667,97.66666666666667,97.0,98.0,98.33333333333333,98.33333333333333,98.33333333333333,97.0,98.33333333333333,91.66666666666667,96.66666666666667,98.33333333333333,98.33333333333333,99.33333333333333,98.33333333333333,98.33333333333333,98.0,98.33333333333333,0.0
