Category,epoch_1.pth,epoch_10.pth,epoch_11.pth,epoch_12.pth,epoch_13.pth,epoch_14.pth,epoch_15.pth,epoch_16.pth,epoch_17.pth,epoch_18.pth,epoch_19.pth,epoch_2.pth,epoch_20.pth,epoch_21.pth,epoch_22.pth,epoch_23.pth,epoch_24.pth,epoch_25.pth,epoch_26.pth,epoch_27.pth,epoch_28.pth,epoch_29.pth,epoch_3.pth,epoch_30.pth,epoch_31.pth,epoch_32.pth,epoch_33.pth,epoch_34.pth,epoch_35.pth,epoch_36.pth,epoch_37.pth,epoch_38.pth,epoch_39.pth,epoch_4.pth,epoch_40.pth,epoch_5.pth,epoch_6.pth,epoch_7.pth,epoch_8.pth,epoch_9.pth,model_fin.pth,model_init.pth
AnnualCrop,76.33333333333333,92.66666666666667,97.33333333333333,93.33333333333333,93.33333333333333,94.66666666666667,96.0,95.66666666666667,92.0,92.33333333333333,95.66666666666667,81.66666666666667,92.66666666666667,95.66666666666667,96.66666666666667,97.0,96.0,93.0,95.33333333333333,96.66666666666667,97.33333333333333,95.33333333333333,86.33333333333333,98.0,94.33333333333333,95.66666666666667,98.66666666666667,94.0,93.33333333333333,97.66666666666667,95.33333333333333,94.0,94.33333333333333,85.0,97.66666666666667,81.0,93.0,98.66666666666667,98.0,91.66666666666667,97.66666666666667,0.0
Forest,85.66666666666667,97.66666666666667,96.66666666666667,98.33333333333333,98.0,98.66666666666667,98.0,98.0,99.33333333333333,98.33333333333333,98.0,96.66666666666667,93.66666666666667,98.66666666666667,97.33333333333333,98.33333333333333,94.66666666666667,97.66666666666667,96.0,98.33333333333333,96.66666666666667,97.33333333333333,97.0,97.33333333333333,98.0,98.0,97.66666666666667,97.33333333333333,91.0,98.33333333333333,99.0,95.66666666666667,98.33333333333333,96.66666666666667,95.66666666666667,91.33333333333333,98.0,97.66666666666667,98.66666666666667,97.0,95.66666666666667,0.0
HerbaceousVegetation,82.0,93.33333333333333,87.33333333333333,91.0,95.33333333333333,95.0,90.33333333333333,91.0,93.33333333333333,92.0,95.0,88.33333333333333,94.66666666666667,93.0,87.66666666666667,92.66666666666667,94.66666666666667,92.0,94.33333333333333,95.0,92.66666666666667,96.33333333333333,89.33333333333333,89.33333333333333,95.0,96.33333333333333,94.33333333333333,95.66666666666667,94.66666666666667,95.33333333333333,94.66666666666667,97.0,97.33333333333333,95.0,96.66666666666667,89.66666666666667,91.33333333333333,87.33333333333333,90.33333333333333,93.33333333333333,96.66666666666667,94.66666666666667
Highway,44.4,83.6,87.6,90.4,84.8,88.8,90.8,92.4,89.2,86.8,88.0,70.4,88.0,90.4,92.4,86.4,89.2,87.2,86.0,90.0,85.2,95.2,80.8,87.6,93.6,91.2,89.6,91.6,87.2,91.2,90.0,88.0,94.8,74.0,95.2,74.4,87.6,83.2,82.4,86.4,95.2,0.0
Industrial,84.0,96.8,94.4,82.8,96.4,89.6,96.4,96.0,94.0,94.8,94.8,96.4,88.8,82.4,96.8,99.2,90.0,98.4,88.0,98.4,92.4,94.4,88.4,95.2,91.2,90.0,98.4,98.8,98.8,96.8,84.8,91.2,80.0,85.2,97.6,89.6,92.4,93.6,96.8,96.4,97.6,15.2
Pasture,80.0,91.0,94.0,88.5,92.5,91.0,91.5,94.5,88.0,92.5,87.5,90.5,95.0,85.5,90.0,91.5,94.5,92.0,94.5,91.5,90.5,90.0,88.0,93.5,93.5,91.0,90.0,92.5,87.0,87.0,80.5,95.5,87.5,87.5,92.0,93.5,90.5,86.0,91.0,89.0,92.0,0.5
PermanentCrop,76.4,74.8,80.4,87.2,81.6,86.4,82.0,86.8,88.0,88.4,86.0,71.2,89.2,88.0,86.4,88.8,88.0,90.8,88.4,88.8,89.6,87.6,84.8,88.4,90.0,86.8,86.4,86.8,90.0,84.8,84.4,86.0,83.6,82.0,86.0,86.8,81.2,73.2,70.8,86.4,86.0,0.0
Residential,96.33333333333333,91.33333333333333,95.0,99.0,94.66666666666667,99.0,95.0,93.0,98.0,98.0,98.33333333333333,91.66666666666667,99.33333333333333,99.66666666666667,97.66666666666667,89.33333333333333,99.66666666666667,97.33333333333333,99.0,92.33333333333333,99.0,98.33333333333333,97.33333333333333,98.66666666666667,98.33333333333333,99.66666666666667,96.33333333333333,93.33333333333333,98.0,99.0,99.66666666666667,99.33333333333333,99.33333333333333,97.66666666666667,95.66666666666667,96.0,94.33333333333333,89.66666666666667,91.66666666666667,93.66666666666667,95.66666666666667,0.0
River,93.6,94.0,99.2,95.2,98.4,96.8,98.0,97.2,98.8,98.8,98.0,99.2,97.6,98.0,98.4,98.8,98.8,98.8,98.4,98.0,98.8,98.4,96.4,98.8,98.8,98.4,98.8,97.2,97.6,97.6,98.4,98.8,98.0,96.8,98.4,99.2,97.2,97.6,98.0,96.4,98.4,11.6
SeaLake,98.66666666666667,98.66666666666667,99.66666666666667,99.66666666666667,99.66666666666667,99.0,99.0,99.66666666666667,99.33333333333333,99.33333333333333,99.66666666666667,98.33333333333333,99.66666666666667,99.33333333333333,99.0,99.66666666666667,98.66666666666667,99.66666666666667,99.66666666666667,100.0,99.66666666666667,98.66666666666667,96.66666666666667,99.33333333333333,99.0,99.0,99.0,98.66666666666667,100.0,99.33333333333333,99.66666666666667,99.66666666666667,100.0,98.33333333333333,100.0,99.0,99.33333333333333,98.66666666666667,99.66666666666667,99.0,100.0,0.0
