Category,model_init.pth,epoch_1.pth,epoch_4.pth,epoch_7.pth,epoch_10.pth,epoch_13.pth,epoch_16.pth,epoch_19.pth,epoch_22.pth,epoch_25.pth,epoch_28.pth,epoch_31.pth,epoch_34.pth,epoch_37.pth,epoch_40.pth,model_fin.pth
AnnualCrop,0.0,74.0,85.0,90.33333333333333,88.66666666666667,88.33333333333333,84.66666666666667,88.33333333333333,92.0,88.66666666666667,86.33333333333333,87.33333333333333,91.33333333333333,88.33333333333333,87.66666666666667,87.66666666666667
Forest,0.0,90.66666666666667,87.33333333333333,95.66666666666667,97.0,97.33333333333333,93.0,95.33333333333333,95.33333333333333,92.33333333333333,98.0,93.0,94.66666666666667,97.33333333333333,98.66666666666667,98.66666666666667
HerbaceousVegetation,0.0,51.0,69.33333333333333,58.333333333333336,76.0,86.0,86.66666666666667,77.66666666666667,77.33333333333333,84.0,78.33333333333333,90.33333333333333,89.33333333333333,89.33333333333333,90.33333333333333,90.33333333333333
Highway,0.0,38.4,53.2,64.0,72.0,75.2,72.0,76.4,80.8,77.2,84.4,83.6,77.2,82.8,82.4,82.4
Industrial,0.0,94.4,77.2,90.0,94.8,93.2,92.0,97.6,92.4,99.2,91.6,97.6,98.8,98.0,96.8,96.8
Pasture,0.0,49.0,88.5,84.0,85.0,82.0,86.5,91.5,96.5,94.5,88.5,91.0,86.0,86.0,92.0,92.0
PermanentCrop,78.4,63.2,72.4,73.2,65.6,69.2,81.2,88.8,83.2,81.2,87.6,88.0,76.0,83.6,80.8,80.8
Residential,0.0,88.66666666666667,98.66666666666667,96.66666666666667,96.66666666666667,99.66666666666667,98.33333333333333,97.0,100.0,96.66666666666667,99.33333333333333,94.33333333333333,96.0,91.66666666666667,97.66666666666667,97.66666666666667
River,0.0,77.2,61.6,83.6,81.2,77.2,88.0,81.6,81.2,88.0,76.0,79.2,87.2,85.6,77.6,77.6
SeaLake,0.0,92.0,92.66666666666667,97.33333333333333,96.33333333333333,96.33333333333333,97.0,97.66666666666667,94.66666666666667,96.66666666666667,97.0,98.33333333333333,98.33333333333333,97.0,97.66666666666667,97.66666666666667
