Category,epoch_1.pth,epoch_10.pth,epoch_11.pth,epoch_12.pth,epoch_13.pth,epoch_14.pth,epoch_15.pth,epoch_16.pth,epoch_17.pth,epoch_18.pth,epoch_19.pth,epoch_2.pth,epoch_20.pth,epoch_21.pth,epoch_22.pth,epoch_23.pth,epoch_24.pth,epoch_25.pth,epoch_26.pth,epoch_27.pth,epoch_28.pth,epoch_29.pth,epoch_3.pth,epoch_30.pth,epoch_31.pth,epoch_32.pth,epoch_33.pth,epoch_34.pth,epoch_35.pth,epoch_36.pth,epoch_37.pth,epoch_38.pth,epoch_39.pth,epoch_4.pth,epoch_40.pth,epoch_5.pth,epoch_6.pth,epoch_7.pth,epoch_8.pth,epoch_9.pth,model_fin.pth,model_init.pth
AnnualCrop,62.0,45.666666666666664,62.666666666666664,62.666666666666664,62.333333333333336,51.333333333333336,66.66666666666667,64.0,70.66666666666667,59.0,61.666666666666664,48.0,61.0,67.0,62.0,65.66666666666667,66.33333333333333,68.33333333333333,64.33333333333333,70.33333333333333,56.0,73.66666666666667,53.666666666666664,69.0,72.33333333333333,62.333333333333336,65.33333333333333,73.66666666666667,77.0,62.333333333333336,74.0,73.0,70.0,61.333333333333336,76.66666666666667,53.0,58.666666666666664,68.0,54.333333333333336,46.666666666666664,76.66666666666667,0.0
Forest,90.33333333333333,87.33333333333333,89.0,91.33333333333333,87.66666666666667,87.33333333333333,87.0,89.0,90.33333333333333,88.33333333333333,86.33333333333333,85.33333333333333,88.33333333333333,85.0,87.33333333333333,88.66666666666667,87.66666666666667,90.33333333333333,73.66666666666667,88.0,82.66666666666667,86.0,92.66666666666667,84.66666666666667,85.0,86.66666666666667,88.33333333333333,90.0,88.33333333333333,82.33333333333333,87.66666666666667,85.66666666666667,85.33333333333333,87.66666666666667,87.0,93.0,82.33333333333333,90.0,88.66666666666667,85.66666666666667,87.0,98.0
HerbaceousVegetation,1.0,66.0,70.66666666666667,75.0,65.66666666666667,72.0,76.33333333333333,74.0,76.0,70.33333333333333,64.0,2.0,66.0,75.33333333333333,76.0,74.66666666666667,75.33333333333333,78.0,69.33333333333333,71.33333333333333,72.0,74.0,1.6666666666666667,73.33333333333333,72.0,71.66666666666667,74.33333333333333,76.0,78.66666666666667,69.66666666666667,74.66666666666667,74.66666666666667,77.66666666666667,4.333333333333333,75.0,4.333333333333333,6.0,18.0,35.333333333333336,43.0,75.0,0.0
Highway,24.8,26.8,26.4,26.4,23.6,30.8,31.2,28.4,26.0,35.2,40.0,27.6,36.8,43.2,38.4,36.0,40.4,32.0,39.6,38.0,44.4,39.2,24.4,38.4,40.0,38.4,38.4,36.4,35.2,44.0,40.4,33.6,40.8,19.6,35.2,24.4,15.2,16.0,31.2,22.0,35.2,0.0
Industrial,38.0,50.8,72.8,74.8,67.6,64.8,70.8,63.2,65.6,66.0,69.6,34.8,60.8,64.8,66.4,73.2,66.8,67.2,61.2,56.8,67.2,62.4,40.0,66.8,65.2,59.6,64.8,64.0,64.4,71.6,69.2,65.2,70.8,42.8,66.4,52.8,59.6,64.4,66.8,69.2,66.4,1.6
Pasture,65.0,64.5,66.5,73.0,68.0,69.0,72.0,65.5,53.0,72.0,70.0,67.0,73.0,58.5,65.0,65.5,65.0,55.0,79.5,72.5,78.0,66.0,73.0,78.5,70.0,60.5,67.5,57.0,64.5,62.0,65.5,72.0,67.5,76.0,67.0,76.5,75.0,57.5,70.0,71.0,67.0,0.0
PermanentCrop,0.0,61.6,52.8,48.8,63.2,61.2,43.6,54.0,51.2,54.8,63.2,14.0,55.6,61.6,63.6,62.0,64.4,66.4,62.8,53.2,62.0,59.6,11.6,57.6,60.4,73.6,65.2,67.6,58.4,70.8,50.8,65.6,68.4,10.8,58.0,30.0,44.0,44.8,58.0,65.2,58.0,0.0
Residential,14.666666666666666,81.0,58.333333333333336,56.0,70.66666666666667,77.0,64.33333333333333,76.0,74.33333333333333,77.33333333333333,64.33333333333333,16.333333333333332,82.0,70.66666666666667,79.33333333333333,70.66666666666667,77.33333333333333,70.0,83.66666666666667,86.33333333333333,76.0,76.33333333333333,21.0,76.66666666666667,79.66666666666667,87.66666666666667,79.0,72.0,74.66666666666667,75.33333333333333,74.66666666666667,79.66666666666667,72.66666666666667,43.0,74.66666666666667,54.666666666666664,59.333333333333336,64.66666666666667,63.0,72.33333333333333,74.66666666666667,1.0
River,21.2,48.8,56.0,51.2,55.2,56.8,51.2,52.8,52.0,52.8,50.0,35.6,50.0,47.6,50.8,52.4,55.2,55.6,56.8,52.0,54.0,52.8,40.0,51.2,56.4,57.6,60.0,60.0,57.6,48.4,56.8,56.0,52.8,30.0,57.2,36.0,45.2,56.8,54.4,58.4,57.2,0.0
SeaLake,82.0,97.33333333333333,97.66666666666667,97.66666666666667,95.33333333333333,97.33333333333333,96.33333333333333,95.66666666666667,95.66666666666667,97.0,97.66666666666667,86.66666666666667,95.0,97.0,98.0,97.33333333333333,95.66666666666667,97.66666666666667,97.0,96.33333333333333,97.33333333333333,95.66666666666667,92.0,96.0,95.0,94.66666666666667,95.66666666666667,96.66666666666667,97.66666666666667,96.66666666666667,92.66666666666667,96.66666666666667,96.66666666666667,92.0,96.66666666666667,91.66666666666667,96.0,93.66666666666667,97.66666666666667,96.66666666666667,96.66666666666667,0.0
